"Site","Datetime","range_WT","Solar_daily","WL_daily_max","WL_min_7day","Air_tmax_7day","Air_tmin_7day","GWT_min","ppt_7day","Air_trange","WL_daily_range","GWT_range","GWL_range","Water_area_m2_3d"
"Pint","6/1/2024",0.971,23.91551895,0.342694,0.320869,13.94286,2.457143,9.077,7.29,19.1,0.039454,0,0.043,670.2
"Pint","6/2/2024",0.485,8.631360132,0.516255,0.320604,15.25714,3.285714,9.077,5.53,9.3,0.197115,0.099,0.053,714.6
"Pint","6/3/2024",0.389,14.45472026,0.534223,0.331858,14.55714,4.1,9.176,36.01,3.5,0.141267,0,0.032,718.2
"Pint","6/4/2024",0.683,8.303039868,0.399407,0.336777,13.1,4.114286,9.176,47.33,4.8,0.026444,0.099,0.027,721.8
"Pint","6/5/2024",1.653,30.18815947,0.397992,0.334297,13.24286,4.3,9.275,46.14,6.3,0.058868,0,0.043,725.4
"Pint","6/6/2024",1.455,30.024,0.387784,0.335649,14.85714,4.814286,9.275,44.09,14.4,0.060303,0,0.054,640.8
"Pint","6/7/2024",1.451,30.09311895,0.383613,0.338423,16.37143,5.628571,9.275,44.09,17.8,0.069558,0.098,0.061,528
"Pint","6/8/2024",0.964,25.51391895,0.372344,0.340257,17.14286,6.528571,9.373,44.09,18.2,0.056265,0,0.05,420
"Pint","6/9/2024",0.866,29.86848105,0.363301,0.339057,18.21429,6.857143,9.373,44.09,14.5,0.052561,0.099,0.044,405
"Pint","6/10/2024",0.769,30.30048105,0.360446,0.326017,19.45714,6.942857,9.472,13.61,11.6,0.058772,0,0.055,423
"Pint","6/11/2024",0.866,24.14015947,0.354186,0.316859,21.44286,7.5,9.571,2.29,14.8,0.045328,0,0.047,424
"Pint","6/12/2024",1.059,30.98304053,0.349381,0.311662,22.41429,7.257143,9.571,0.44,14.8,0.046635,0.098,0.05,408
"Pint","6/13/2024",1.061,23.3712,0.344966,0.306642,22.34286,6.8,9.669,0.44,17.1,0.052622,0.099,0.055,375
"Pint","6/14/2024",0.675,27.63935947,0.340116,0.304344,21.94286,6.171429,9.768,0.44,19.4,0.042152,0.098,0.044,353.4285714
"Pint","6/15/2024",0.774,14.7312,0.393037,0.304067,20.4,5.3,9.866,2.92,13.5,0.078896,0.099,0.032,343.2857143
"Pint","6/16/2024",0.68,26.80128105,0.385289,0.306305,17.98571,4.214286,9.965,14.39,5.2,0.058879,0,0.034,344.5714286
"Pint","6/17/2024",0.584,14.07455947,0.357626,0.31233,16.61429,3.257143,9.965,17.74,8.7,0.013776,0.098,0.014,345.8571429
"Pint","6/18/2024",0.78,30.82751895,0.344361,0.310584,14.62857,2.442857,10.063,19.64,6.6,0.047729,0,0.047,347.1428571
"Pint","6/19/2024",0.582,30.66335947,0.331387,0.306924,14.51429,2.142857,10.063,19.2,16.1,0.05426,0,0.063,348.4285714
"Pint","6/20/2024",0.677,30.00671895,0.315555,0.302345,15.01429,2.671429,10.063,19.2,16.9,0.055266,0,0.067,349.7142857
"Pint","6/21/2024",0.483,29.88575947,0.316358,0.296154,15.4,3.842857,10.063,19.2,13.9,0.061728,0,0.067,308.5714286
"Pint","6/22/2024",0.385,28.79711895,0.309201,0.287659,17.04286,5.057143,10.063,16.72,16.5,0.054523,0,0.066,225
"Pint","6/23/2024",0.384,30.24,0.297637,0.279604,19.6,6.171429,10.063,5.25,15.3,0.027618,0.098,0.037,126
"Pint","6/24/2024",0.48,30.48191895,0.308354,0.267918,20.64286,6.785714,10.161,2.81,11.7,0.046304,0.098,0.051,54
"Pint","6/25/2024",0.288,30.36095947,0.306602,0.260672,22.47143,7.014286,10.259,0.91,17.8,0.060688,0,0.073,24.75
"Pint","6/26/2024",0.288,24.9696,0.292709,0.258914,23.85714,7.942857,10.259,0.91,19.3,0.027887,0.098,0.032,11.25
"Pint","6/27/2024",0.384,19.7856,0.308765,0.262011,23.04286,8.028571,10.357,1.27,10.6,0.0268,0.098,0.027,13.5
